,Section,Zone_Section_Average_Price,Time_Diff
0,181979,387.98,67.08819444
1,181979,386.63,66.06736111
2,181979,386.63,66.08819444
3,181979,387.98,67.06736111
4,181979,384.3792308,65.08819444
5,181979,384.3792308,65.06736111
6,181979,384.3792308,64.08819444
7,181979,384.3792308,64.06736111
8,181979,382.8990909,25.89305556
9,181979,380.7718182,25.21458333
10,181979,382.8990909,26.21666667
11,181979,382.8990909,26.89236111
12,181979,382.8990909,27.21111111
13,181979,386.09,24.89166667
14,181979,382.8990909,27.89236111
15,181979,378.9716667,63.06736111
16,181979,378.9716667,63.08819444
17,181979,373.3166667,58.06805556
18,181979,373.3166667,58.08819444
19,181979,373.025,57.08819444
20,181979,373.025,57.06805556
21,181979,378.7766667,60.06805556
22,181979,378.7766667,60.08819444
23,181979,373.9016667,59.08888889
24,181979,378.7766667,61.06805556
25,181979,378.7766667,61.08819444
26,181979,378.7766667,62.06805556
27,181979,378.7766667,62.08819444
28,181979,373.9016667,59.06805556
29,181979,379.79,22.22152778
30,181979,364.85,56.06805556
31,181979,364.85,56.08819444
32,181979,381.8975,22.89583333
33,181979,358.322,55.06805556
34,181979,358.322,53.06805556
35,181979,358.322,53.08888889
36,181979,358.322,55.08819444
37,181979,377.09,21.89444444
38,181979,358.322,54.08819444
39,181979,358.322,54.06805556
40,181979,394.15,23.21527778
41,181979,379.655,46.08819444
42,181979,394.15,23.89375
43,181979,371.69,47.08819444
44,181979,371.69,47.06736111
45,181979,363.86,48.06736111
46,181979,374.1192308,21.21944444
47,181979,363.86,48.08819444
48,181979,386.09,24.2125
49,181979,363.86,50.06736111
50,181979,363.86,49.08819444
51,181979,363.86,49.06736111
52,181979,358.322,52.08819444
53,181979,358.634,52.06736111
54,181979,371.132,40.19722222
55,181979,382.58,42.08819444
56,181979,371.132,39.20138889
57,181979,366.686,36.21388889
58,181979,365.438,35.21041667
59,181979,373.22,29.19375
60,181979,382.8990909,28.20625
61,181979,373.22,29.89652778
62,181979,368.1221429,30.89722222
63,181979,362.195,33.21041667
64,181979,366.2,20.89791667
65,181979,377.5414286,32.21041667
66,181979,377.72,30.21527778
67,181979,353.885625,31.21527778
68,181979,382.58,43.08819444
69,181979,362.195,34.21111111
70,181979,351.243,19.22013889
71,181979,351.1131579,20.21805556
72,181979,339.0108333,17.89930556
73,181979,340.5804762,18.22013889
74,181979,337.1475,17.22430556
75,181979,338.7308,16.90208333
76,181979,332.684,16.22291667
77,181979,328.852,15.22152778
78,181979,329.7985185,11.22708333
79,181979,330.4645833,14.95972222
80,181979,339.3318519,13.22430556
81,181979,336.7396429,12.95625
82,181979,328.8911111,10.95416667
83,181979,339.0634615,14.62222222
84,181979,330.2210714,12.62152778
85,181979,330.2210714,12.225
86,181979,330.6218519,11.62083333
87,181979,329.3853571,11.95625
88,181979,320.9557143,10.62013889
89,181979,320.9557143,10.22777778
90,181979,318.3682759,8.619444444
91,181979,315.7325,8.954166667
92,181979,320.6632143,9.954861111
93,181979,316.7771429,9.228472222
94,181979,316.7771429,9.619444444
95,181979,318.3682759,8.225
96,181979,302.8437931,7.954166667
97,181979,302.4278571,7.747222222
98,181979,300.6327586,7.456944444
99,181979,299.3316667,7.079166667
100,181979,300.6327586,7.227777778
101,181979,295.9153333,6.455555556
102,181979,295.9153333,6.232638889
103,181979,295.9153333,6.077777778
104,181979,293.9653333,5.743055556
105,181979,292.143871,5.453472222
106,181979,292.143871,5.225694444
107,181979,259.344,3.45
108,181979,259.344,3.222222222
109,181979,283.916129,4.745138889
110,181979,277.4784375,4.229861111
111,181979,277.4784375,4.441666667
112,181979,279.7890323,4.079166667
113,181979,253.0067857,3.079166667
114,181979,245.6240741,2.795138889
115,181979,241.3642857,2.448611111
116,181979,241.3642857,2.222916667
117,181979,216.5142857,1.125694444
118,181979,234.9118182,1.618055556
119,181979,232.7313636,1.449305556
120,181979,234.9734783,1.793055556
121,181979,222.4757143,1.2125
122,181979,200.1135294,0.952777778
123,181979,182.0129412,0.790277778
124,181979,149.0991667,0.615972222
125,181979,144.497,0.448611111
126,181979,144.9377778,0.209027778
127,181979,141.70375,0.124305556
